,Subtype,AGR2,AHNAK2,AIM2,ATP10B,CALHM6,CAPN8,CAV1,CEACAM5,CEACAM6,CEL,CELA3A,CFTR,CKS2,CPB1,CTRB2,ELF3,ERBB3,FERMT1,FOXQ1,FXYD3,GP2,GPM6B,GPRC5A,GPX2,HK2,HMMR,KRT14,LGALS4,LOX,MUC13,NT5E,PAPPA,PHLDA1,PLS1,PMAIP1,PRSS1,PRSS2,REG1A,REG1B,REG3A,S100A2,S100P,SDR16C5,SLC16A1,SLC2A3,SLC3A1,SLC4A4,SLC5A3,SPINK1,ST6GALNAC1,TFF1,TFF3,TMEM45B,TOX3,TSPAN8,TWIST1
s1,Classical,2.01965667994748,3.33775906870559,0.154866055353283,1.64278923456667,-1.44095170628498,1.4083847761738,0.82538610791228,3.52427951221419,3.43031377838327,0.583682175182082,-0.729608731933631,1.56290721920639,-0.321639535038629,0.903909693708917,0.274361368722039,2.09182630832771,2.84924763709696,1.66563960228737,0.742778017292989,0.366158550577094,1.16228849259429,-1.35201159902735,2.73512188418906,1.17937684917095,1.2329259900035,-0.318921927508578,-1.39545274746828,2.07620187122797,0.593143100685426,1.91221402536488,1.61293406539989,0.427089817600035,1.28102801371883,1.26597222804187,-0.283215077979164,1.57211565298499,2.17844382563698,1.72831086364089,0.30643124176184,0.441633216808347,-0.649242117344429,0.908417566560055,0.511026217977829,1.23690983963511,1.18534215404884,0.110064802030184,1.06983148504767,0.755018217596644,1.96890423730469,-0.0883589680238139,0.361628106731829,-0.239435837255953,0.879353084861681,0.870219551443974,2.56010026856686,-1.06624062562824
s2,Classical,2.86244986664549,2.98424255349067,-0.748980847616922,0.906589998023434,-1.23490507570255,2.27943108827687,0.883157311411139,3.45098325695336,3.92707075461299,0.517661883297585,-1.31950504508731,1.82471065673892,-0.331236585352952,-0.443499854281268,-0.646721836066343,2.34897033532859,2.62543599326261,1.79153575455835,0.867475431806006,1.24246033182843,0.41550297241073,-1.29194096836984,2.77185462110385,2.18161549831018,1.04197256333625,-0.280640775323191,-1.52644666699346,2.72393238160585,-0.367718167702521,1.55680074440557,0.294297570306543,-0.204651732183304,1.51232267487004,1.50573701410114,-0.556455272405118,0.458440591684804,1.61190896982301,1.50678088998791,-0.387558253536123,-1.38310289801277,-0.948608258622541,1.72686638584609,0.952780386019635,0.844166418464182,0.729222030585176,1.58446895233633,1.64266360516649,0.739115705660031,2.60441630960248,1.80028244209555,2.82500647145234,1.31023275200968,0.701196847098553,0.941126347809436,2.87345434491477,-1.04292484048743
s3,Classical,2.81519461063789,2.74232775499874,-0.79817696151195,0.82078578015485,-1.41953180124943,1.60901847575514,0.27342138104257,3.66177123555605,2.93226623049125,-0.663021987494838,-1.50235365981575,1.90754786284177,-0.232779163291733,-1.16234544507158,-1.31934670007248,2.28217609629014,2.59438310398693,1.68823544931408,0.617755556187491,1.122652192435,-1.13824631140963,-0.997712479306903,2.58922827063863,1.33164022743811,1.40792932922324,-0.245220854787029,-1.54429286536508,1.52403766790652,-0.241048699503804,2.04932683400996,1.22106940269548,-0.346474734754761,1.55006049960958,1.61127610775855,-0.518096937653822,-0.434373216714726,0.373739819239814,0.439009811653526,-1.47025280534924,-1.25072739304633,-0.716138510546949,2.22314705437605,0.927678472660071,0.804265643535826,0.628204917371297,0.58837026540968,1.55065265791794,0.59702625099597,1.35008876728713,1.4063810037905,2.603272101406,2.30817099001693,0.232701343449249,0.612473219331663,2.23219133702942,-1.11988212797279
s4,Classical,1.33519323544424,2.23968464894081,-1.02143198184283,0.0858356928238465,-1.23940695275898,0.92626168780435,0.811841225254193,1.30636327277356,2.67440858696785,-0.0168080258912926,-1.48202297713352,1.21706755139619,-0.682783867148341,-0.769760767174903,-1.07119543825738,1.55668108099409,1.42439124705535,0.625565791988241,-0.453289189801002,-0.288314231565006,-0.498633173659715,-1.09547889930905,1.47813796419854,0.841045727761717,1.04078106309614,-0.575969861466686,-0.073119464338151,0.919922305192679,0.865434816347853,0.638110550999568,0.756369028134508,0.794124657262456,1.0550566765871,0.265597540245277,-0.619346748779783,-0.30374333860029,0.617615452983047,0.533450412542939,-0.911917152957681,-0.392802408643796,-0.991995191575606,0.581996806738,0.122056140543302,0.8084552032909,1.59414894235484,-0.318067791703024,0.849265306017737,0.198759480545904,1.58406824207545,0.093225256126728,0.826437415146508,0.649297663974458,-0.262429851188071,-0.0350959090779513,1.24355370286124,0.0792036440352944
s5,Exocrine-like,2.28308015802924,2.56175600914929,-1.12101792925534,0.91161366468672,-0.756638491259518,1.64660021314128,0.468318486165698,2.83007212810268,3.19476221100153,1.63571451034197,-0.115293322611672,2.45062605071077,-0.687127024965654,1.30071269109837,1.43298844333726,2.4093408707974,2.0320919235896,1.29955095096769,0.257981891726511,0.847826657859717,1.07703199430649,-1.13002209134937,1.97516109946332,1.98725611658144,0.808052393776305,-0.601299115870076,-1.70927020949898,2.17260328658787,0.126661123361629,0.944663229434322,0.275747148455639,-0.666888302639977,1.35683246244329,0.966446689115996,-0.694004899526744,2.10930200422181,2.60937024632018,2.51370922468743,0.330796232657229,0.385427935673872,-0.854039935243033,1.37225312703781,0.333127645941455,0.789944384919774,1.69137588667584,1.33318780852517,2.20377618613693,0.216436700945744,2.94778641883405,1.0321007235524,2.18610986282984,0.902222591012501,0.459482829929321,0.447541753259065,2.23749754813305,-1.08634187957003
s6,Classical,2.51190726255091,2.86933642808601,-0.779988188581254,0.889850407774572,-1.34652442964894,0.924425721954735,1.08339136179548,1.47745675369088,2.15961402425611,-0.128167443604094,-1.45474620974241,1.05183788232465,-0.603186332687537,-0.599493687967897,-1.14135304613561,1.76461472096977,2.2469660988362,1.36209599455389,0.15486224022658,0.17088451229832,-0.124374250349303,-1.00734449199634,2.0582542358232,0.646990000596125,0.277604355191016,-0.500187979660963,0.902586691147494,2.22051633694669,0.241016284782461,2.57752708912543,1.23895484437542,0.28796841845953,1.26351463394027,1.85196972054314,-0.593991747757545,0.434988008067325,0.898764506399792,1.92486193902684,-1.67815789721539,-0.184474336039092,0.52813299402304,0.255867957032645,-0.000230286130423038,1.3176498770839,0.323406313690068,0.443832039692242,1.35443354364279,0.670085371970914,1.31997676334459,0.34879661691872,0.498082990275201,0.65100011689299,0.964970333376494,0.49849170276897,2.65219325750964,-0.832768048857424
s7,Exocrine-like,2.18474347949245,3.19366384726382,-1.12464206557158,0.826955594414362,-1.43352562286291,1.79967693536949,0.563677998389101,3.65976698424473,3.37536700135248,1.84076469339308,-0.439159809462763,1.65191657051272,-0.443875674969467,1.73926359206342,1.60757632186864,2.6053046687665,2.56593587683134,1.04172212524299,0.761936187284485,1.39977834768225,1.5869231996241,-1.30577095512134,2.63946813161267,0.300840216977132,1.87878862366357,-0.279479153682005,-1.52386630928691,1.51308546957784,0.682840008118814,0.465929200717593,1.05524518377882,0.0173529808785603,1.79396768057868,1.22688970410244,-0.243307247400204,1.99548497543753,2.46868514993484,2.52848054657283,1.46056071977427,1.82604966467378,0.623458307226227,2.19414887679092,0.321230054935097,0.471960246240067,1.08817049967124,0.445304553761522,1.3118605486904,0.71294868724163,2.53253132422044,1.08192550613344,0.663693193224536,-0.484531303541117,0.0157315254958752,-0.359489697836221,1.55824600676891,-0.589841647317136
s8,QM,0.913371348351615,2.36473347886084,-0.954036834606981,-0.444442041969321,-1.01371814303564,0.411285095486236,1.29129115165709,-0.15461238274006,0.766749610443015,-1.07088597967791,-1.68634382110341,1.2711998951732,-0.897521283857889,-1.48455238021099,-1.63465101354506,0.837178164097141,1.63767087568833,0.744899705295024,-0.720985324983374,-0.534991724469888,-1.52335137051688,0.0652030319486494,1.36541004393743,0.0669352046132535,0.650108744588771,-0.371724494334208,-0.83514011408402,0.537334167369844,0.845202098790525,-0.215058573839018,0.887647421470632,0.922588775213928,0.904957471295376,0.796971044327688,-0.780364880732909,-1.17983763214026,-0.719214425448284,-1.01658473907196,-1.61576424484403,-1.63465101354506,-0.926339872646139,-0.119450348175336,-0.258996569894003,0.693043759546834,1.62260907339682,0.0124634796328044,0.813609952357231,0.692552937238207,0.480295983616424,0.255869351322976,-0.686444591456311,-0.892849039746735,-0.786222826902134,0.396006918135237,1.04660331376057,-1.39306617146544
s9,Classical,3.39716688113842,2.48163586609515,-1.41378282921878,2.07515623575221,-1.224275604857,3.10680203526106,-0.0671712402956788,3.9631492212389,3.58425774753178,-1.24997941937534,-1.55928344608321,1.02267999248196,-0.618479947632257,-1.5058521546693,-1.55928344608321,2.84416877968942,2.67665703268374,1.50315113535708,0.891702496720794,0.75659182874776,0.719293661794601,-1.39092237550617,2.31913522628509,2.28388995672064,1.66617684635457,-0.567355739758519,-1.52903256951245,2.25538215937324,-0.529887163755062,2.00543329876969,1.01278629517242,-0.405346593290318,0.9730454283318,1.79253901455622,-0.950259695663873,-0.695316218853467,-0.264318628597176,-0.97085764418255,-1.55928344608321,-1.55928344608321,-1.02630885511789,1.58536463114074,1.05237426148032,0.751529134673939,0.364163255475202,1.14621850842832,1.8440965116353,0.619040788452016,1.91890319682915,1.79139114523935,2.9602448923563,0.167336639409365,0.905084999077185,1.32664114689436,2.37863069976575,-1.30020943594049
s10,Classical,2.19717356084648,3.2378502863176,-1.28045104204997,0.483280240623457,-1.45852353689082,1.34889282009642,1.17320598687761,1.65366008470035,2.40555322946349,-0.337985900829833,-1.45852353689082,1.17884985610164,-0.348467458186086,-0.986836478758194,-1.20566630177361,1.93026838154098,1.98262282111079,0.987837506179496,0.149125862319483,0.364546080201473,-0.877038113182331,-1.22549819025871,2.55768682946758,1.45964140104795,1.50604192956784,0.205627930485865,-1.48544578898336,1.46319468601111,0.980646621497487,0.689629764174642,0.711397999173957,0.669966494429785,0.998491714509315,1.67690668838711,-0.36126096453826,0.0354304664125501,0.495270498337045,0.020631253814565,-1.2864685131994,-1.15156377556557,0.307218882795212,1.47624220652064,0.531924955819217,1.09286316646257,1.5658729689996,0.538614000506438,0.852712533867309,0.670723053870586,1.74052915807971,1.21241670283384,0.615752931172831,-0.429103372945079,1.10125475198029,0.562720956008232,1.53741290733388,-0.397732928429346
