,Subtype,ABCA8,ACTG2,ADAMTS1,ADGRL3,CDH11,CDH19,COL10A1,COL11A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COMP,CTHRC1,DES,FABP4,FAP,FN1,FNDC1,GPM6B,GREM1,ID4,IGF1,INHBA,ITGA11,LMOD1,LUM,MEOX2,MMP11,MYH11,OGN,POSTN,PTX3,RBPMS2,RSPO3,SFRP2,SPARC,SULF1,SYNM,THBS2,VCAN,ZNF469
s1,Activated,0.221732658329999,0.0121716213808264,0.350177625084446,-0.240645413924597,1.53554110337459,-0.240722240131375,2.30334300488975,2.29371020386463,3.49494188829407,2.0327163990816,2.50051162431305,2.65633682267391,2.66941052972399,1.28356219065647,1.34571577687961,-0.20650777590793,-0.207938386733549,1.33663205595744,3.25393371740156,1.28034283667544,-0.405070534617583,0.696725147945212,-0.0161080912261542,1.48060172574423E-09,1.07056043508356,1.44222135229619,0.58479067400454,0.354989197197728,-0.0171195503368328,0.446672820101161,1.35075493101165,5.53683663126343E-12,1.21209433258426,-0.184653888730572,-0.148715568078235,-0.00525708285444435,1.89330161589912,2.41342229751684,1.97362888996587,-0.26117583499202,2.41559322922378,1.27307261238167,-0.000896541378754368
s2,Normal,0.107349440964922,0.00479171738651458,0.62803642889355,-0.218414469530096,0.746819357370642,-0.558356290761484,1.23305285182551,1.23948624007063,3.13252692736369,3.64327670933623,1.57142943342975,2.33368223268784,1.96086279578124,1.06180596050416,0.729256897829619,-0.200302399378154,-0.241966530860476,0.670573315030196,2.0572994031342,0.564344085931779,-0.399828782657633,9.11424967435433E-12,-0.000289900647776644,3.51488611413314E-09,0.377919954565018,0.654002355739764,0.675687227661778,2.75358266131473E-14,-0.0229756099033158,0.40472693702574,1.31195357765694,4.69823056144683E-11,4.08047726240187E-05,-0.181438359917412,-0.0920996136213364,-0.0109265164115005,0.82907433734529,1.95674467011006,1.25822878028731,-0.253000886365552,1.48971281206312,3.92425557739509E-05,-0.141147230923725
s3,Normal,0.108769091587263,0.0509350963041533,0.638304906916654,-0.159587269066249,0.876656293841875,-0.722891168919961,1.29076609313416,1.28584942445746,3.09554350640862,3.58476779564671,1.38515618333378,2.33552127350681,1.88351870057603,1.0491285212666,0.77311781386588,-0.672785630984796,-0.229771525315247,0.813298445770738,2.2690041859595,0.569326787692985,-0.374729743321051,2.17098552307766E-09,-0.000429071516300268,4.43413480257376E-09,0.408772006048675,0.67694647624306,0.712720795736385,6.94628838158535E-15,-0.0538949078410262,0.0681005617354157,1.45256240367347,1.13543699236754E-10,0.497504786788264,-0.179888878543996,-0.165804867144806,-0.00640698602171801,0.969774219029772,1.84902805895852,1.57067249366124,-0.187601341392927,1.60526351545893,0.226266873238899,-0.00806060207280595
s4,Activated,0.397410036728997,0.0875510069401015,1.06427752328799,-0.573523119914685,1.67909643249064,-0.274850570211499,1.79013440483106,2.47510162222554,4.57688290708217,0.110632703715109,3.97698983606756,2.66744863919002,3.17112798525879,1.37827930752424,1.76492830663971,-0.260672109681591,-0.283091503914253,1.56504233197169,4.01985167580855,2.1529747644802,-0.382906968125169,1.13148500413226,-0.0830855215641464,0.679182818011371,1.23099784939728,1.59013416441508,0.755519162499755,0.933164558381362,-0.0832029732715161,0.227120792784334,1.18299330370726,0.159019005186491,2.0115781184208,-0.0553399904992713,-0.0955823433720172,-0.290873737081042,2.4833405300228,3.09376793948168,2.65405437560853,-0.205090637799253,2.76147547155951,2.05067430914791,-9.60129880750537E-05
s5,Normal,0.531290030608326,0.0267600910261195,1.20546288895188,-0.170014065632795,1.11316488230786,-0.252571607149079,1.45162996008482,0.960333393242433,3.45292695678619,2.99350323902457,2.35472450116285,2.31747531395935,2.06324518049598,1.03271461865184,1.0465459398033,-0.00382395037115327,-0.323021974602674,1.04970382393701,2.14403417656168,0.718563565782692,-0.385844398040694,0.240216056896341,-0.171153874501687,3.83263173801216E-08,0.833990390283589,0.913539167467056,0.785329231831594,0.154677451295576,-0.328040424565453,0.576233120069794,1.76585953989131,0.296773834457982,0.615906173617309,-0.191539969690339,-0.124543933818503,-0.298543289663892,1.53820459244509,2.41639179956442,1.90077120929961,-0.175386849979027,1.87400982357392,0.892458938001976,-0.0270676908605142
s6,Activated,0.226490487326226,0.057523662156109,0.477947246266725,-0.0439342084994807,1.41425277915748,-0.768753773658841,1.87953817903462,2.42054978989296,4.53956477378245,0.0884461454940899,3.66164601267841,2.66729222247082,2.85391226527149,0.550260990953957,1.32745696818348,-0.463383267561428,-0.18699376372611,1.22090273418978,3.54879461038725,0.904515089088439,-0.375524868482505,1.6592692544886,-0.139367031418049,1.94711567645543E-09,0.688611789354412,1.97377060135227,1.10501433800035,4.74668001440555E-12,-0.00309521581159823,0.00555851780184188,1.73098981923256,1.7463686538961E-11,1.58836999197095,-0.175753499596966,-0.633107116774923,-0.230251501132064,1.06206220987806,2.96333514560728,2.38912703058272,-5.52799523114321E-05,2.2158274080457,0.671917935800352,-2.11006931495399E-05
s7,Activated,0.183247071496353,0.0469372118655397,0.758834857894107,-0.34280226094435,1.2562832049239,-0.2296210293871,1.83926228558109,2.22720338031322,4.11109758887367,1.9373285716477,2.60198234339546,2.66132753450633,2.40554510395451,1.37832568359271,1.10261245307143,-0.530357018450181,-0.221759923912095,1.10818592885607,3.62130007757209,0.977261884670492,-0.401034090707834,0.738807590367164,-0.000399275084810115,8.52017615365698E-09,1.0474894324745,1.46459884021875,0.53772321296345,4.45009183788417E-13,-0.00728828573260556,0.373832384225889,1.19494876537146,3.16013902184264E-13,1.3517031021048,-0.189502196868019,-0.106522536336334,-0.00809298942891062,1.65937710011528,2.15998988557347,1.87772621509154,-0.25395905136944,2.33823843894843,0.768885065307953,-0.00215548591386101
s8,Normal,0.893408920693323,0.00682482835125234,1.02771113777535,0.224098094864885,1.28383420557397,-7.73814324702904E-79,1.22165445099705,0.769855477697856,3.07299475361709,2.71762324837174,2.46191574042144,2.29406373127257,2.35096303848472,0.245188920251306,0.571954084851822,-0.206718486816068,-6.17495324969581E-06,1.32891999871831,2.34047782752185,0.409320220312285,-0.0549394234819105,0.180838194870093,-0.236716189151336,0.637022701685376,0.791854655625952,0.452099574707072,0.863392801582187,0.458003786656367,-0.0610317355328749,0.47777351941231,1.55760714239649,0.983243053871378,0.0112596026503653,-0.283428739411651,-0.0621092881340999,-0.199890592103469,1.78296777404822,2.5531489613013,1.68316278029049,-0.158711158548279,1.87095113570271,1.38695984605098,-0.0100960102702435
s9,Normal,0.0891369423960333,0.0326797131223692,0.479787648327189,-0.0311692789255857,0.713328169926108,-0.159963266407579,0.681891952456059,1.2459782055548,2.10508423023184,2.84661402602311,0.642280751753321,1.80480237887225,1.37321062940118,0.249836250636786,0.614017643303238,-0.345635597169152,-0.209812571706241,0.1617550210668,1.12814417457661,0.550243038009635,-0.40847212223056,2.42850856553882E-12,-0.0271230613814875,1.16353278405242E-09,0.394187122521474,0.393187273515942,0.539575238914913,2.22651787575907E-17,-0.0278015080008275,0.590695170392767,1.20074610224523,0.145948760559319,9.2834671197041E-08,-0.192033548852392,-0.126780134917519,-0.00798739209481153,9.06564425551859E-28,0.908534400356969,0.724052759487664,-0.215733606018576,1.2494713285752,3.12297254637569E-06,-0.117262071460579
s10,Activated,0.343637520516394,0.138106522379536,0.705539725771173,-0.422643057526301,1.71469986053122,-0.214397980870975,2.28726875792364,2.81700756850515,4.7329760248664,0.110141376325848,3.57417570344143,2.66729363228513,3.03271457265868,0.858008920660388,1.58817665728538,-0.260530213191995,-0.000165529210574874,1.49018936789283,4.05671944009245,1.51627883589076,-0.394056795937169,1.00141833807307,-0.136882008689791,0.0997268630467749,1.21702430460872,1.52139427746704,0.869949896385809,0.567220146852149,-0.512960079315298,0.00263514771050996,1.61736417155976,1.77933624693438E-11,2.34467003464383,-0.186592615320741,-0.241425002148726,-0.160459680915447,1.92923345087712,3.02985425375471,2.62402938430543,-0.190182989377742,2.75061268774412,1.74140197341711,-4.11453429781376E-05
